model,scenario,region,variable,item,unit,year,value
aglink,baseline,ame,food,rum,1000 t,2020,9595.077849
aglink,baseline,ame,food,rum,1000 t,2030,11849.32952
aglink,baseline,ame,food,rum,1000 t,2040,14190.05617
aglink,baseline,ame,food,vfn,1000 t,2000,36768.56652
aglink,baseline,ame,food,vfn,1000 t,2010,52476.86063
aglink,baseline,ame,food,vfn,1000 t,2020,70206.18418
aglink,baseline,ame,food,vfn,1000 t,2030,91411.41668
aglink,baseline,ame,food,vfn,1000 t,2040,115387.2571
aglink,baseline,ame,food,wht,1000 t,2000,73531.59353
aglink,baseline,ame,food,wht,1000 t,2010,95255.67381
aglink,baseline,ame,food,wht,1000 t,2020,119141.9098
aglink,baseline,ame,food,wht,1000 t,2030,138309.0651
aglink,baseline,ame,food,wht,1000 t,2040,153036.1221
aglink,baseline,ame,impo,cgr,1000 t,2000,29627.52137
aglink,baseline,ame,impo,cgr,1000 t,2010,37358.89307
aglink,baseline,ame,impo,cgr,1000 t,2020,60376.229
aglink,baseline,ame,impo,cgr,1000 t,2030,69179.85481
aglink,baseline,ame,impo,cgr,1000 t,2040,79784.73366
aglink,baseline,ame,impo,nrm,1000 t,2000,1267.22219
aglink,baseline,ame,impo,nrm,1000 t,2010,3583.164415
aglink,baseline,ame,impo,nrm,1000 t,2020,5365.202726
aglink,baseline,ame,impo,nrm,1000 t,2030,7813.859357
aglink,baseline,ame,impo,nrm,1000 t,2040,9576.321999
aglink,baseline,ame,impo,osd,1000 t,2000,2797.61374
aglink,baseline,ame,impo,osd,1000 t,2010,7635.626942
aglink,baseline,ame,impo,osd,1000 t,2020,15067.28369
aglink,baseline,ame,impo,osd,1000 t,2030,18057.96617
aglink,baseline,ame,impo,osd,1000 t,2040,19594.90827
aglink,baseline,ame,impo,pfb,1000 t,2000,570.2009479
aglink,baseline,ame,impo,pfb,1000 t,2010,987.1792648
aglink,baseline,ame,impo,pfb,1000 t,2020,1782.803937
aglink,baseline,ame,impo,pfb,1000 t,2030,1549.403568
aglink,baseline,ame,impo,pfb,1000 t,2040,1691.998558
aglink,baseline,ame,impo,ric,1000 t,2000,11515.0864
aglink,baseline,ame,impo,ric,1000 t,2010,16696.20582
aglink,baseline,ame,impo,ric,1000 t,2020,24551.24868
aglink,baseline,ame,impo,ric,1000 t,2030,34752.80131
aglink,baseline,ame,impo,ric,1000 t,2040,45578.10467
aglink,baseline,ame,impo,rum,1000 t,2000,1222.56398
aglink,baseline,ame,impo,rum,1000 t,2010,2151.360951
aglink,baseline,ame,impo,rum,1000 t,2020,2244.414458
aglink,baseline,ame,impo,rum,1000 t,2030,3177.023562
aglink,baseline,ame,impo,rum,1000 t,2040,3879.248428
aglink,baseline,ame,impo,vfn,1000 t,2000,1736.723403
aglink,baseline,ame,impo,vfn,1000 t,2010,3210.359235
aglink,baseline,ame,impo,vfn,1000 t,2020,4304.770811
aglink,baseline,ame,impo,vfn,1000 t,2030,5812.351438
aglink,baseline,ame,impo,vfn,1000 t,2040,6573.682716
aglink,baseline,ame,impo,wht,1000 t,2000,43177.03942
aglink,baseline,ame,impo,wht,1000 t,2010,59053.54979
aglink,baseline,ame,impo,wht,1000 t,2020,81393.82678
